id_verdict,LABEL_party_who_pays
U.1950.1,NO_COST
U.1950.1004,PROC
U.1950.1008,DEF
U.1950.1011/2,PROC
U.1950.1022/3,PROC
U.1950.1025/4,DEF
U.1950.1029,PROC
U.1950.115/2,PROC
U.1950.120,PROC
U.1950.130,NO_COST
U.1950.133,PROC
U.1950.142/3,PROC
U.1950.145,PROC
U.1950.149,PROC
U.1950.155,PROC
U.1950.161,PROC
U.1950.164,DEF
U.1950.174,PROC
U.1950.177,PROC
U.1950.178,PROC
U.1950.18/2,PROC
U.1950.181,DEF
U.1950.185,PROC
U.1950.189,DEF
U.1950.193,PROC
U.1950.196,PROC
U.1950.201,NO_COST
U.1950.203/3,DEF
U.1950.207,PROC
U.1950.21,DEF
U.1950.211,DEF
U.1950.217,NO_COST
U.1950.222,NO_COST
U.1950.230,PROC
U.1950.233/2,NO_COST
U.1950.236,DEF
U.1950.252,DEF
U.1950.256,PROC
U.1950.259/1,PROC
U.1950.262,PROC
U.1950.263,DEF
U.1950.266/2,PROC
U.1950.270,NO_COST
U.1950.276,NO_COST
U.1950.282,PROC
U.1950.284,PROC
U.1950.297,PROC
U.1950.304,PROC
U.1950.309,PROC
U.1950.314/2,DEF
U.1950.319,PROC
U.1950.329,PROC
U.1950.33,NO_COST
U.1950.333,DEF
U.1950.338,DEF
U.1950.341,PROC
U.1950.348/2,DEF
U.1950.356,DEF
U.1950.365,NO_COST
U.1950.368,PROC
U.1950.371,DEF
U.1950.386,NO_COST
U.1950.433S,NO_COST
U.1950.436S,DEF
U.1950.437S,DEF
U.1950.441S,NO_COST
U.1950.445S,NO_COST
U.1950.446S,DEF
U.1950.473/2,DEF
U.1950.478,PROC
U.1950.481/3,PROC
U.1950.489,PROC
U.1950.494,DEF
U.1950.498,DEF
U.1950.501,PROC
U.1950.504,PROC
U.1950.509,NO_COST
U.1950.511,NO_COST
U.1950.514/2,DEF
U.1950.516/2,PROC
U.1950.521,NO_COST
U.1950.525,PROC
