word,index,count
_,0,210
__,1,462
a,2,675158
aa,3,1408
aab,4,457
aaben,5,785
aabenbart,6,369
aabenraa,7,1435
aabent,8,382
aabne,9,696
aabnede,10,375
aabnet,11,565
aabning,12,354
aaby,13,239
aaen,14,408
aagaard,15,1020
aage,16,6076
aagesen,17,408
aalborg,18,12414
aalborgs,19,340
aamand,20,226
aandssvag,21,356
aar,22,18781
aarene,23,1258
aaret,24,5412
aarets,25,361
aarhus,26,9888
aarig,27,758
aarige,28,881
aarlig,29,8925
aarlige,30,1296
aarligt,31,681
aarrække,32,986
aars,33,2536
aarsag,34,890
aarsagen,35,487
aarsø,36,248
aarup,37,321
aase,38,528
aasted,39,224
ab,40,5275
abc,41,792
abel,42,213
abildgaard,43,271
able,44,235
abnorm,45,606
abnormt,46,354
abonnement,47,689
abonnementer,48,263
abonnementet,49,367
abonnenter,50,315
abort,51,201
about,52,547
above,53,1479
abrahamsen,54,233
absalon,55,291
absolut,56,2742
absolutte,57,502
ac,58,540
accept,59,3142
acceptabel,60,308
acceptabelt,61,324
acceptable,62,330
acceptere,63,3822
accepterede,64,3433
accepterer,65,819
accepteres,66,969
accepteret,67,5047
access,68,234
accordance,69,382
according,70,541
account,71,707
accumulator,72,227
act,73,506
action,74,354
actionens,75,485
active,76,207
activities,77,228
actor,78,536
ad,79,34109
adalimumab,80,444
adam,81,429
adamsen,82,556
adcitanten,83,794
adcitationssagen,84,411
adcitatus,85,446
adciterede,86,3999
adciteredes,87,361
adciteret,88,319
additional,89,287
adecco,90,821
adfærd,91,12574
adgang,92,22398
adgangen,93,3860
adgangsvej,94,791
adhd,95,245
adidas,96,269
adkomst,97,2380
adler,98,210
adm,99,348
administration,100,4833
administrationen,101,2208
administrations,102,286
administrationsaftale,103,219
administrationsaftalen,104,233
administrationsgebyr,105,216
administrationsomkostninger,106,377
administrationsselskabet,107,215
administrationsudgifter,108,219
administrativ,109,2843
administrative,110,3536
administrativt,111,1284
administrator,112,2217
administrere,113,822
administrerede,114,447
administrerende,115,2595
administrerer,116,460
administreres,117,579
administreret,118,631
adolf,119,395
adolph,120,335
adopteret,121,222
adoption,122,1054
adoptionen,123,393
adoptionslovens,124,272
adressat,125,230
adressaten,126,324
adresse,127,6038
adresseløse,128,379
adressen,129,3705
adresser,130,1048
adresseret,131,365
adskille,132,607
adskillelse,133,856
adskiller,134,2438
adskilles,135,257
adskillige,136,4034
adskilt,137,1653
adskilte,138,773
adspurgt,139,1229
adspurgte,140,233
adv,141,48828
advare,142,548
advarede,143,303
advaret,144,854
advarsel,145,2471
advarslen,146,330
advarsler,147,633
advent,148,219
advocat,149,425
advocaterne,150,210
advokat,151,94104
advokatbeskikkelse,152,337
advokatbistand,153,5482
advokaten,154,6703
advokatens,155,1251
advokater,156,4350
advokaterne,157,1833
advokaters,158,426
advokatetiske,159,218
advokatfirma,160,617
advokatfirmaet,161,2241
advokatfuldmægtig,162,736
advokatkontor,163,224
advokatkontoret,164,412
advokatnævnet,165,2221
advokatnævnets,166,1101
advokatomkostninger,167,759
advokatpartnerselskab,168,206
advokatrådet,169,837
advokatrådets,170,368
advokats,171,1098
advokatsalær,172,298
advokatsamfundet,173,430
advokatsamfundets,174,249
advokatskik,175,1420
advokatudgift,176,377
advokatudgifter,177,579
advokatvirksomhed,178,833
adækvans,179,330
adækvat,180,504
ae,181,252
af,182,3233436
afbenyttelse,183,353
afbetaling,184,1011
afbetalingsloven,185,332
afbetalingslovens,186,608
afbildet,187,369
afbrudt,188,2746
afbryde,189,1125
afbrydelse,190,1886
afbrydelsen,191,298
afbrydelser,192,269
afbryder,193,303
afbrydes,194,678
afbrænding,195,219
afbrød,196,572
afbud,197,202
afd,198,26892
afdeling,199,21562
afdelingen,200,5461
afdelingens,201,1094
afdelinger,202,2446
afdelingerne,203,512
afdelings,204,3937
afdelingsbestyrelsen,205,233
afdelingschef,206,709
afdelingsingeniør,207,241
afdelingsleder,208,1045
afdelingslæge,209,252
afden,210,539
afdet,211,300
afdrag,212,6892
afdrage,213,571
afdragene,214,541
afdrages,215,1150
afdraget,216,728
afdragsfrihed,217,205
afdragsfrit,218,240
afdragsordning,219,641
afdragsvis,220,268
afdække,221,524
afdækket,222,438
afdækning,223,530
afdød,224,339
afdøde,225,16310
afdødes,226,5850
affald,227,3023
affaldet,228,596
affattede,229,585
affattelse,230,1161
affattelsen,231,354
affattes,232,361
affattet,233,2862
affyrede,234,612
affyret,235,629
afføring,236,200
afgaa,237,528
afgaaet,238,1001
afgang,239,1156
afgangen,240,268
afgav,241,6860
afgaves,242,313
afghanistan,243,652
afgift,244,7455
afgiften,245,3279
afgiftens,246,306
afgifter,247,5064
afgifterne,248,475
afgiftsbeløb,249,473
afgiftsberegning,250,263
afgiftsberegningen,251,396
afgiftsberigtigelse,252,233
afgiftsberigtiget,253,231
afgiftsfri,254,407
afgiftsfritagelse,255,368
afgiftsgrundlaget,256,267
afgiftsmyndighederne,257,216
afgiftspligt,258,242
afgiftspligten,259,426
afgiftspligtig,260,748
afgiftspligtige,261,1945
afgiftstilsvar,262,338
afgiftstilsvaret,263,223
afgik,264,4081
afgive,265,7483
afgivelse,266,2416
afgivelsen,267,874
afgiven,268,1178
afgiver,269,1323
afgives,270,1224
afgivet,271,43538
afgivne,272,14863
afgjorde,273,400
afgjordes,274,215
afgjort,275,6003
afgjorte,276,314
afgjøre,277,341
afgjørelse,278,676
afgjørende,279,287
afgravning,280,213
afgrænsede,281,329
afgrænses,282,462
afgrænset,283,991
afgrænsning,284,1256
afgrænsningen,285,675
afgrøde,286,355
afgrøden,287,255
afgrøder,288,352
afgå,289,222
afgået,290,1110
afgår,291,287
afgør,292,782
afgøre,293,3435
afgørelse,294,80397
afgørelsen,295,26230
afgørelsens,296,613
afgørelser,297,9400
afgørelserne,298,1668
afgørelsestidspunktet,299,278
afgørende,300,21599
afgøres,301,7064
afh,302,230
afhang,303,398
afhente,304,956
afhentede,305,560
afhentes,306,348
afhentet,307,954
afhentning,308,950
afhentningen,309,376
afhjemling,310,401
afhjemlingen,311,574
afhjulpet,312,558
afhjælpe,313,943
afhjælpes,314,467
afhjælpning,315,1227
afholde,316,3874
afholdelse,317,3160
afholdelsen,318,548
afholder,319,1002
afholdes,320,3078
afholdt,321,17741
afholdte,322,4421
afholdtes,323,2244
afhænde,324,1470
afhændede,325,783
afhændelse,326,1166
afhændelsen,327,408
afhændes,328,439
afhændet,329,1458
afhænge,330,885
afhænger,331,2093
afhængig,332,3925
afhængige,333,341
afhængighed,334,329
afhængighedsforhold,335,227
afhængigt,336,953
afhøre,337,526
afhøres,338,439
afhøring,339,3290
afhøringen,340,1603
afhøringer,341,941
afhøringerne,342,358
afhøringsrapport,343,537
afhørt,344,2126
afhørte,345,2817
afhørtes,346,287
afkald,347,3517
afkaldet,348,226
afkast,349,1004
afkastet,350,348
afklare,351,622
afklares,352,526
afklaret,353,2245
afklaring,354,1776
afkom,355,229
afkorte,356,201
afkortes,357,203
afkortet,358,227
afkortning,359,798
afkrydsning,360,210
afkræfte,361,371
afkræftelse,362,860
afkræftes,363,342
afkræftet,364,790
afkræve,365,757
afkrævede,366,808
afkræves,367,376
afkrævet,368,1428
afkøling,369,220
aflaaset,370,307
aflagde,371,616
aflagt,372,1031
aflagte,373,319
aflastning,374,262
afledet,375,257
afledning,376,328
afledt,377,500
afledte,378,341
aflevere,379,1956
afleverede,380,2605
afleverer,381,303
afleveres,382,967
afleveret,383,2845
aflevering,384,1478
afleveringen,385,722
aflyse,386,385
aflyses,387,402
aflysning,388,1258
aflysningen,389,505
aflyst,390,1117
aflyste,391,333
aflytning,392,350
aflåst,393,472
aflægge,394,854
aflæggelse,395,276
aflægger,396,204
aflæsning,397,578
aflæsningen,398,314
afløb,399,858
afløbet,400,361
aflønnes,401,388
aflønnet,402,466
aflønning,403,1038
aflønningen,404,265
afløse,405,227
afløser,406,640
afløsning,407,626
afløst,408,1072
afløste,409,463
afmeldt,410,330
afmærket,411,381
afmærkning,412,553
afmønstret,413,232
afpasset,414,235
afpresning,415,380
afprøve,416,206
afprøvet,417,317
afprøvning,418,440
afregne,419,929
afregnede,420,711
afregner,421,272
afregnes,422,838
afregnet,423,1501
afregning,424,3105
afregningen,425,787
afregninger,426,435
afrejse,427,480
afrejsen,428,390
afrika,429,308
afrundet,430,545
afsagde,431,5407
afsagdes,432,2668
afsagt,433,33586
afsagte,434,6658
afsat,435,1554
afsatte,436,524
afsavn,437,483
afsejlede,438,356
afsejlingen,439,210
afsende,440,309
afsendelse,441,622
afsendelsen,442,634
afsender,443,586
afsenderen,444,495
afsendt,445,1874
afsendte,446,1002
afset,447,217
afsige,448,725
afsigelse,449,14258
afsigelsen,450,1041
afsiges,451,2288
afskaaret,452,1384
afskar,453,493
afsked,454,1466
afskedige,455,1944
afskedigede,456,540
afskedigelse,457,5021
afskedigelsen,458,4052
afskedigelser,459,708
afskedigelserne,460,307
afskedigelsestidspunktet,461,225
afskediges,462,1149
afskediget,463,3823
afskibede,464,214
afskiberne,465,200
afskibet,466,361
afskibning,467,621
afskibningen,468,281
afskrevet,469,817
afskrift,470,813
afskrive,471,595
afskrives,472,816
afskrivning,473,2236
afskrivninger,474,2677
afskrivningsberettigede,475,310
afskrivningsgrundlag,476,234
afskrivningsgrundlaget,477,317
afskrivningsloven,478,213
afskrivningslovens,479,753
afskåret,480,6784
afskårne,481,213
afskære,482,1988
afskærer,483,1003
afskæres,484,874
afskærmning,485,278
afslaaet,486,397
afslag,487,9331
afslaget,488,1337
afslog,489,3398
afslutning,490,4611
afslutningen,491,1288
afslutningsvis,492,552
afslutte,493,922
afsluttede,494,2050
afsluttedes,495,721
afsluttende,496,1360
afsluttes,497,947
afsluttet,498,7863
afslå,499,658
afslået,500,1899
afslås,501,256
afsløre,502,222
afsløret,503,304
afsnit,504,10902
afsnittet,505,1068
afsone,506,294
afsonede,507,295
afsoner,508,232
afsonet,509,511
afsoning,510,1637
afsoningen,511,492
afspadsering,512,217
afspejle,513,302
afspejler,514,741
afspillet,515,512
afspilning,516,280
afspærret,517,287
afspærring,518,418
afspærringen,519,218
afstamning,520,206
afstand,521,7495
afstande,522,230
afstanden,523,2114
afsted,524,316
afstemning,525,1125
afstemningen,526,541
afstemninger,527,219
afstemt,528,299
afstivning,529,233
afstod,530,434
afstå,531,690
afståede,532,227
afståelse,533,1577
afståelsen,534,361
afståelsesret,535,349
afståelsessum,536,217
afståelsessummen,537,236
afstået,538,526
afsæt,539,247
afsætning,540,897
afsætningen,541,333
afsætte,542,712
afsættes,543,511
aftage,544,1551
aftagende,545,238
aftager,546,468
aftagere,547,658
aftaget,548,688
aftale,549,49683
aftaleforhold,550,223
aftaleforholdet,551,210
aftalegrundlag,552,433
aftalegrundlaget,553,721
aftaleindgåelsen,554,261
aftaleloven,555,208
aftalelovens,556,3707
aftalen,557,27095
aftalens,558,4060
aftalepart,559,226
aftaler,560,10948
aftaleretlige,561,308
aftaleretligt,562,231
aftalerne,563,2199
aftalernes,564,238
aftales,565,1461
aftaletidspunktet,566,307
aftalevilkår,567,270
aftalt,568,16668
aftalte,569,10617
aftaltes,570,1096
aften,571,5026
aftenen,572,4726
after,573,758
aftog,574,451
aftryk,575,203
aftægt,576,276
afvanding,577,308
afveg,578,493
afvejning,579,1440
afvejningen,580,326
afvente,581,2283
afventede,582,726
afventer,583,587
afventet,584,257
afvige,585,265
afvigelse,586,922
afvigelser,587,967
afvigende,588,1287
afviger,589,1320
afvigte,590,239
afvikle,591,827
afviklede,592,219
afvikles,593,773
afviklet,594,1104
afvikling,595,2458
afviklingen,596,887
afvise,597,5222
afvisende,598,393
afviser,599,1166
afvises,600,7417
afvisning,601,9375
afvisningen,602,1059
afvisningspaastand,603,502
afvisningspåstand,604,1557
afvisningspåstanden,605,1276
afvist,606,11862
afviste,607,6431
afvistes,608,1439
afværge,609,1493
afværgeforanstaltninger,610,427
afværgelse,611,364
afværget,612,881
ag,613,1916
against,614,576
agency,615,308
agent,616,4257
agenten,617,1593
agentens,618,274
agenter,619,1372
agents,620,250
agentur,621,495
agenturer,622,255
agenturet,623,378
agentvirksomhed,624,208
agere,625,304
ageret,626,213
agersnap,627,366
aggressiv,628,568
aggressive,629,355
agnes,630,472
agnete,631,408
agree,632,272
agreed,633,438
agreement,634,2342
agreements,635,236
agro,636,211
agt,637,357
agtede,638,1949
agtedes,639,326
agtelse,640,365
agter,641,1874
agterskrivelse,642,250
agterskrivelsen,643,224
agtes,644,450
agtpaagivenhed,645,636
agtpågivenhed,646,2007
ah,647,418
ahluwalia,648,223
ai,649,598
aids,650,283
aig,651,317
air,652,1640
aircraft,653,248
airlines,654,460
airport,655,240
airways,656,337
ak,657,454
akademisk,658,269
akcept,659,629
akceptere,660,543
akcepterede,661,733
akcepteret,662,1014
akkord,663,1287
akkorden,664,654
aksel,665,2089
akt,666,248
akter,667,2479
akterne,668,445
aktie,669,1354
aktieavancebeskatningsloven,670,208
aktieavancebeskatningslovens,671,735
aktieindkomst,672,247
aktiekapital,673,1767
aktiekapitalen,674,2423
aktiemajoriteten,675,324
aktien,676,450
aktieoptioner,677,315
aktiepost,678,995
aktieposten,679,340
aktieposter,680,273
aktier,681,16322
aktierne,682,8120
aktiernes,683,912
aktieselskab,684,6178
aktieselskaber,685,972
aktieselskabet,686,8486
aktieselskabets,687,1434
aktieselskabs,688,870
aktieselskabsloven,689,440
aktieselskabslovens,690,2171
aktieselskabsregisteret,691,273
aktieselskabsregistret,692,296
aktindsigt,693,3121
aktion,694,533
aktionen,695,327
aktionens,696,2581
aktioner,697,296
aktionær,698,1581
aktionæren,699,241
aktionærer,700,2860
aktionærerne,701,2114
aktionærernes,702,304
aktionærers,703,209
aktionæroverenskomst,704,252
aktionæroverenskomsten,705,317
aktiv,706,4573
aktivbanken,707,427
aktive,708,1100
aktiver,709,10244
aktiveret,710,471
aktivering,711,572
aktiverne,712,1883
